barcode_short	sample_id	genus	species	estimated_counts
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas zeicaulis	174.1848788393941
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas arvum	140.37689921957718
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas mohensis	68.12870525816058
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas cremea	52.406210180856085
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas beigongshangi	51.70790768899055
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas difficilis	38.84783387931472
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas rosea	38.13890645599111
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas sanxanigenens	37.80890698737712
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas pokkalii	29.30222491463565
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas cavernae	26.87333067473756
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas rustica	22.81820407963827
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas changbaiensis	22.01221721392986
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas hominis	21.31322896953113
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas fonticola	20.980633610143165
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas plantiphila	19.58706474389076
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas montis	18.055631472313824
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas piscinae	17.1428495070916
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas sediminicola	16.843992958888872
BC17	barcode17_120_filtered	Sphingomonas	Sphingomonas mesophila	16.5912109517002
BC18	barcode18_120_filtered	Hephaestia	Hephaestia mangrovi	1554.9197349670787
BC18	barcode18_120_filtered	Novosphingobium	Novosphingobium arabidopsis	96.87136292098384
BC18	barcode18_120_filtered	Novosphingobium	Novosphingobium hassiacum	80.95192696851974
BC18	barcode18_120_filtered	Novosphingobium	Novosphingobium soli	35.63631039491887
BC18	barcode18_120_filtered	Novosphingobium	Novosphingobium aromaticivorans	26.97865259233856
BC18	barcode18_120_filtered	Novosphingobium	Novosphingobium tardum	20.25313069597662
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas gilva	225.64430155161625
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas zeicaulis	208.3298308078289
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas arvum	106.94550098033628
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas mohensis	75.86491718708199
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas beigongshangi	52.03936296989668
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas sanxanigenens	39.880822314970025
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas rustica	38.49832849621239
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas montis	38.03278457650355
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas flavalba	33.75363694048769
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas sediminicola	30.631303051083705
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas cremea	29.53038169608033
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas pokkalii	27.60824787436322
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas fonticola	22.224905569661644
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas difficilis	19.00389592652816
BC18	barcode18_120_filtered	Sphingomonas	Sphingomonas mesophila	18.89712939579166
