sample_id	cluster_id	estimated_counts	abundance	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group
barcode14_120_filtered	79	32.000144773298516	0.0006846415227492194	65655	Hydrogenophaga palleronii	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota					
barcode14_120_filtered	192	55.00000000002669	0.0011767222935392958	1550728	Blastomonas fulva	Blastomonas	Blastomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	23	30.999999999999996	0.0006632434745400085	2590199	Anaeromyxobacter diazotrophicus	Anaeromyxobacter	Anaeromyxobacteraceae	Myxococcales	Myxococcia	Myxococcota					
barcode14_120_filtered	211	23.209534346809743	0.0004965668452462504	1305696	Novosphingobium arabidopsis	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode14_120_filtered	133	11.000000000000322	0.00023534445870775184	55583	Dehalobacter restrictus	Dehalobacter	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode15_120_filtered	155	53.66518490746126	0.0011464225269159228	1460355	Sphingomonas mohensis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	120	17.232390023052886	0.000368126936469054	3103142	Sphingomonas rustica	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	120	90.41971216618404	0.0019315911252949956	1632740	Sphingomonas zeicaulis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	120	23.318688004634048	0.0004981454787258133	397260	Sphingomonas sanxanigenens	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	120	1025.4707488145357	0.021906619145383256	2873268	Hephaestia mangrovi	Hephaestia	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	120	197.9727178634021	0.00422919223822183	2305907	Sphingomonas gilva	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	22	96.25575163354402	0.0020562635199748783	2992113	Sphingomonas arvum	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode15_120_filtered	22	45.53168621700761	0.0009726706589692083	335605	Sphingomonas rosea	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
