sample_id	cluster_id	abundance	member_taxids	member_taxa	read_count
barcode13_120_filtered	60	0.000912	2763047;2981773	2763047||Bacillota|Clostridia|Eubacteriales||Flintibacter|Flintibacter faecis;2981773||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Muriventricola|Muriventricola aceti	42.568322
barcode13_120_filtered	62	0.000600	2763677	2763677||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Zongyangia|Zongyangia hominis	27.987080
barcode13_120_filtered	65	0.003618	351091;2763042	351091||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Oscillibacter|Oscillibacter valericigenes;2763042||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Dysosmobacter|Dysosmobacter segnis	168.830432
barcode13_120_filtered	66	0.001008	1147123	1147123||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Caloramator|Caloramator quimbayensis	47.009437
barcode13_120_filtered	68	0.000835	398199;2804028	398199||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Proteiniclasticum|Proteiniclasticum ruminis;2804028||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Proteiniclasticum|Proteiniclasticum sediminis	38.976623
barcode13_120_filtered	71	0.000343	286730;1965019	286730||Bacteroidota|Bacteroidia|Marinilabiliales|Marinilabiliaceae|Alkaliflexus|Alkaliflexus imshenetskii;1965019||Bacteroidota|Bacteroidia|Marinilabiliales|Marinilabiliaceae|Geofilum|Geofilum rhodophaeum	16.000000
barcode13_120_filtered	75	0.001650	12917;80878;553814;758826	12917||Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae|Acidovorax|Acidovorax facilis;80878||Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae|Acidovorax|Acidovorax temperans;553814||Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae|Acidovorax|Acidovorax carolinensis;758826||Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae|Acidovorax|Acidovorax radicis	77.003210
barcode13_120_filtered	76	0.000214	2594430	2594430||Bacteroidota|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium franklandianum	10.000000
barcode13_120_filtered	79	0.000472	65655	65655||Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae|Hydrogenophaga|Hydrogenophaga palleronii	22.000000
barcode13_120_filtered	80	0.000321	474960	474960||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Hydrogenoanaerobacterium|Hydrogenoanaerobacterium saccharovorans	15.000000
