sample_id	cluster_id	abundance	Kingdom	Phylum	Class	Order	Family	Genus	Species	ncbi tax number	read_count
barcode19	230	0.003044788738		Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Dasyspora	Dasyspora frutescentis	1006457	130.3
barcode19	252	0.008088978075		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia wiehei	1904436	346.2
barcode19	174	0.000342870505		Basidiomycota	Pucciniomycetes	Pucciniales	Crossopsoraceae	Stomatisora	Stomatisora psychotriicola	1440432	14.7
barcode19	248	0.001548423004		Ascomycota	Trigonopsidomycetes	Trigonopsidales	Trigonopsidaceae	Tortispora	Tortispora agaves	1326894	66.3
barcode19	269	0.000897412043		Basidiomycota	Pucciniomycetes	Pucciniales	Phragmidiaceae	Hamaspora	Hamaspora rubi-alceifolii	3125859	38.4
barcode19	96	0.000268178528		Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	Cyanodermella	Cyanodermella oleoligni	1961798	11.5
barcode19	4	0.001590186065		Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora laricis-populina	203908	68.1
barcode19	188	0.000982465619		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum pinicola	2822381	42.0
barcode19	137	0.000916625383		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum reginae	2943438	39.2
barcode19	45	0.000400417610		Chytridiomycota	Chytridiomycetes	Synchytriales	Synchytriaceae	Synchytrium	Synchytrium microbalum	1806994	17.1
barcode19	288	0.000338937975		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera jadinii	4903	14.5
barcode19	41	0.000770463221		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	Parastagonospora nodorum	13684	33.0
barcode19	72	0.000440630293		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae	507509	18.9
barcode19	71	0.000537408455		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Kodamaea	Kodamaea arcana	234568	23.0
barcode19	3	0.001891710156		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces punctatus	109760	81.0
barcode19	32	0.000725197790		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces plurigibbosus	117821	31.0
barcode19	268	0.001672762445		Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum otae	279323	71.6
