sample_id	cluster_id	abundance	Kingdom	Phylum	Class	Order	Family	Genus	Species	ncbi tax number	read_count
barcode19	44	0.000568408601		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida metapsilosis	273372	24.3
barcode19	86	0.000404460720		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera mississippiensis	53607	17.3
barcode19	80	0.000373891478		Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Chordomyces	Chordomyces antarcticum	1525356	16.0
barcode19	9	0.000329548666		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Mycoemilia	Mycoemilia scoparia	417184	14.1
barcode19	29	0.000724333126		Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Rhodofomes	Rhodofomes roseus	34475	31.0
barcode19	234	0.000654239773		Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus haptosporus	90248	28.0
barcode19	116	0.000911167191		Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola pottsiae	2681178	39.0
barcode19	265	0.000420538264		Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella niemeijerarum	2093397	18.0
barcode19	10	0.000260969734		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora fijiensis	1873960	11.2
barcode19	0	0.000373849245		Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Psilocybe	Psilocybe cubensis	181762	16.0
barcode20	36	0.023371699093		Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella shivajii	564305	2439.0
barcode20	33	0.000311330671		Chytridiomycota	Chytridiomycetes	Polychytriales		Polychytrium	Polychytrium aggregatum	110093	32.5
barcode20	24	0.008297028350		Microsporidia				Mitosporidium	Mitosporidium daphniae	1485682	865.8
barcode20	53	0.000658968068		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma	Candidozyma haemuli	45357	68.8
barcode20	38	0.000200029892		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercospora	Cercospora kikuchii	84275	20.9
barcode20	34	0.000230116890		Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Brettanomyces	Brettanomyces bruxellensis	5007	24.0
barcode20	66	0.000474853198		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Helenozyma	Helenozyma melibiosica	5491	49.6
barcode20	61	0.000953910196		Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Pichia	[Candida] silvatica	54193	99.5
barcode20	38	0.000199995425		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pallidocercospora	Pallidocercospora heimii	131344	20.9
barcode20	38	0.002052178536		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Amycosphaerella	Amycosphaerella africana	1431932	214.2
barcode20	38	0.000138766857		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria tritici	1047171	14.5
barcode20	38	0.000353480372		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Teratosphaeria	Teratosphaeria destructans	418781	36.9
barcode20	38	0.008285391315		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Capnobotryella	Capnobotryella renispora	62132	864.6
barcode20	68	0.001331972296		Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis corymbifera	78917	139.0
barcode20	62	0.002830185659		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Spiromyces	Spiromyces minutus	61418	295.3
