sample_id	cluster_id	abundance	member_taxids	member_taxa	read_count
barcode19	38	0.012240	5580;43223;62132;84275;112494;122368;129865;131344;133175;134358;162394;329884;372061;418781;470158;1047171;1056133;1306365;1431932;1431937;1508187;1921807;2059835;2315864;2810478;2950318	5580||Ascomycota|Dothideomycetes|Dothideales|Saccotheciaceae|Aureobasidium|Aureobasidium pullulans;43223||Ascomycota|Dothideomycetes|Venturiales|Venturiaceae|Tyrannosorus|Tyrannosorus pinicola;62132||Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Capnobotryella|Capnobotryella renispora;84275||Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Cercospora|Cercospora kikuchii;112494||Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Paramycosphaerella|Paramycosphaerella parkii;122368||Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Cercospora|Cercospora beticola;129865||Ascomycota|Dothideomycetes|Pleosporales|Phaeosphaeriaceae|Septoriella|Septoriella leuchtmannii;131344||Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Pallidocercospora|Pallidocercospora heimii;133175||Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Pseudocercospora|Pseudocercospora angolensis;134358||Ascomycota|Dothideomycetes|Pleosporales|Sporormiaceae|Westerdykella|Westerdykella cylindrica;162394||Ascomycota|Dothideomycetes|Dothideales|Dothideaceae|Dothidea|Dothidea sambuci;329884||Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Friedmanniomyces|Friedmanniomyces simplex;372061||Ascomycota|Dothideomycetes|Pleosporales|Testudinaceae|Lepidosphaeria|Lepidosphaeria nicotiae;418781||Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Teratosphaeria|Teratosphaeria destructans;470158||Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Teratosphaeria|Teratosphaeria stellenboschiana;1047171||Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Zymoseptoria|Zymoseptoria tritici;1056133||Ascomycota|Leotiomycetes|Helotiales|Hamatocanthoscyphaceae|Infundichalara|Infundichalara microchona;1306365||Ascomycota|Dothideomycetes|||Cryomyces|Cryomyces montanus;1431932||Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Amycosphaerella|Amycosphaerella africana;1431937||Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Neocatenulostroma|Neocatenulostroma microsporum;1508187||Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Meristemomyces|Meristemomyces frigidus;1921807||Ascomycota|Dothideomycetes|Pleosporales|Phaeosphaeriaceae|Tintelnotia|Tintelnotia destructans;2059835||Ascomycota|Dothideomycetes|Mycosphaerellales|Mycosphaerellaceae|Exopassalora|Exopassalora zambiae;2315864||Ascomycota|Leotiomycetes|Phacidiales||Ramoconidiophora|Ramoconidiophora euphorbiae;2810478||Ascomycota|Dothideomycetes|Mycosphaerellales|Teratosphaeriaceae|Salinomyces|Salinomyces polonicus;2950318||Ascomycota|Dothideomycetes|Mycosphaerellales|Neodevriesiaceae|Neodevriesia|Neodevriesia kalakoutskii	523.800000
barcode19	39	0.000687	1392244	1392244||Basidiomycota|Ustilaginomycetes|Ustilaginales||Kalmanozyma|Kalmanozyma brasiliensis	29.400000
barcode19	4	0.001590	203908	203908||Basidiomycota|Pucciniomycetes|Pucciniales|Melampsoraceae|Melampsora|Melampsora laricis-populina	68.100000
barcode19	41	0.000770	13684	13684||Ascomycota|Dothideomycetes|Pleosporales|Phaeosphaeriaceae|Parastagonospora|Parastagonospora nodorum	33.000000
barcode19	42	0.001313	82268	82268||Chytridiomycota|Monoblepharidomycetes|Monoblepharidales||Hyaloraphidium|Hyaloraphidium curvatum	56.200000
barcode19	43	0.000468	1671311	1671311||Ascomycota|Sordariomycetes|Glomerellales|Glomerellaceae|Colletotrichum|Colletotrichum abscissum	20.000000
barcode19	44	0.002855	45511;271282;273372;297794;2315449	45511||Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Yamadazyma|Yamadazyma scolyti;271282||Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Spathaspora|Spathaspora jeffriesii;273372||Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Candida|Candida metapsilosis;297794||Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Yamadazyma|[Candida] blattariae;2315449||Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Yamadazyma|Yamadazyma tenuis	122.200000
barcode19	45	0.000400	1806994	1806994||Chytridiomycota|Chytridiomycetes|Synchytriales|Synchytriaceae|Synchytrium|Synchytrium microbalum	17.100000
barcode19	46	0.004350	45271;1068736;1300151;1535305;1739102;1739110;2035830;2935555	45271||Ascomycota|Sordariomycetes|Microascales|Microascaceae|Pseudallescheria|Pseudallescheria ellipsoidea;1068736||Ascomycota|Sordariomycetes|Glomerellales|Australiascaceae|Monilochaetes|Monilochaetes dimorphospora;1300151||Ascomycota|Sordariomycetes|Microascales|Ceratocystidaceae|Solaloca|Solaloca norvegica;1535305||Ascomycota|Sordariomycetes|Microascales|Ceratocystidaceae|Ambrosiella|Ambrosiella roeperi;1739102||Ascomycota|Sordariomycetes|Microascales|Ceratocystidaceae|Ambrosiella|Ambrosiella nakashimae;1739110||Ascomycota|Sordariomycetes|Microascales|Ceratocystidaceae|Meredithiella|Meredithiella norrisii;2035830||Ascomycota|Sordariomycetes|Microascales|Ceratocystidaceae|Berkeleyomyces|Berkeleyomyces rouxiae;2935555||Ascomycota|Sordariomycetes|Microascales|Halosphaeriaceae|Pseudolignincola|Pseudolignincola siamensis	186.200000
barcode19	48	0.111611	3055;3067	3055||Chlorophyta|Chlorophyceae|Chlamydomonadales|Chlamydomonadaceae|Chlamydomonas|Chlamydomonas reinhardtii;3067||Chlorophyta|Chlorophyceae|Chlamydomonadales|Volvocaceae|Volvox|Volvox carteri	4776.700000
