OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_6	59	0	59	0	1		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum higginsianum
OTU_219	59	0	19	41	2		Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Teunia	Teunia korlaensis
OTU_186	58	0	12	47	1		Ascomycota	Dothideomycetes	Mycosphaerellales	Neodevriesiaceae	Neodevriesia	Neodevriesia hilliana
OTU_191	58	0	18	40	1		Basidiomycota	Cystobasidiomycetes		Symmetrosporaceae	Symmetrospora	Symmetrospora rhododendri
OTU_297	57	0	0	57	2		Ascomycota	Dipodascomycetes	Dipodascales	Dipodascaceae	Geotrichum	Geotrichum europaeum
OTU_96	56	12	20	25	1		Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae	Cyanodermella	Cyanodermella oleoligni
OTU_171	56	0	56	0	1		Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus speciosissimus
OTU_233	55	0	15	40	1		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Khoyollomyces	Khoyollomyces ramosus
OTU_206	54	0	12	42	1		Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus microsporus
OTU_192	53	0	53	0	1		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes versicolor
OTU_257	53	0	24	29	1		Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	Geastrum lanuginosum
OTU_193	51	0	51	0	1		Ascomycota	Sordariomycetes	Falcocladiales	Falcocladiaceae	Falcocladium	Falcocladium thailandicum
OTU_56	49	0	18	31	1		Cryptomycota				Rozella	Rozella allomycis
OTU_101	49	0	22	28	1		Basidiomycota	Exobasidiomycetes	Georgefischeriales	Tilletiariaceae	Phragmotaenium	Phragmotaenium fulvescens
OTU_154	49	0	17	32	1		Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium mucilaginum
OTU_54	48	0	48	0	1		Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia restricta
OTU_147	48	0	0	48	1		Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia frangulae
OTU_149	47	0	32	15	1		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Clavulina	Clavulina monodiminutiva
OTU_126	46	0	46	0	1		Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Hymenopellis	Hymenopellis straminea
OTU_175	46	0	46	0	1		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Anaeromyces	Anaeromyces robustus
OTU_151	45	0	17	28	1		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Chrysozyma	Chrysozyma flava
OTU_12	44	0	0	44	1		Ascomycota	Sordariomycetes	Microascales	Gondwanamycetaceae	Knoxdaviesia	Knoxdaviesia proteae
OTU_133	44	0	12	32	1		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Chrysozyma	Chrysozyma iridis
OTU_18	43	0	21	22	1		Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Ballistosporomyces	Ballistosporomyces taupoensis
OTU_159	42	42	0	0	1		Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe phari
OTU_172	42	0	15	27	1		Basidiomycota	Microbotryomycetes	Heitmaniales	Heitmaniaceae	Heitmania	Heitmania tridentata
OTU_127	39	0	39	0	1		Basidiomycota	Agaricomycetes	Agaricales	Nidulariaceae	Cyathus	Cyathus ibericus
OTU_245	39	0	0	39	1		Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Otidea	Otidea brunneoparva
OTU_299	39	0	0	39	2		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Gorgonomycetaceae	Gorgonomyces	Gorgonomyces aquaticus
OTU_117	38	0	0	38	1		Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Tremateia	Tremateia thailandensis
OTU_180	38	0	0	38	2		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia coatesiae
OTU_178	37	0	22	15	1		Basidiomycota	Agaricomycetes	Gomphales	Lentariaceae	Lentaria	Lentaria gossypina
OTU_124	36	0	25	12	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Globomycetaceae	Urceomyces	Urceomyces sphaerocarpus
OTU_259	36	0	36	0	1		Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Basidiodendron	Basidiodendron globisporum
OTU_285	36	0	0	36	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Sugiyamaella	Sugiyamaella ayubii
OTU_75	35	35	0	0	1		Ascomycota	Sordariomycetes	Amphisphaeriales	Apiosporaceae	Apiospora	Apiospora aurea
OTU_290	35	0	0	35	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Gorgonomycetaceae	Gorgonomyces	Gorgonomyces haynaldii
OTU_94	34	21	13	0	1		Ascomycota	Dipodascomycetes	Dipodascales	Dipodascaceae	Magnusiomyces	Magnusiomyces capitatus
OTU_131	34	0	18	16	1		Basidiomycota	Agaricomycetes	Russulales	Lachnocladiaceae	Vararia	Vararia minispora
OTU_142	34	0	34	0	1		Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Rhizomarasmius	Rhizomarasmius cunninghamietorum
OTU_162	34	0	0	34	1		Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Genea	Genea balsleyi
OTU_177	34	0	0	34	1		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Pseudohyphozyma	Pseudohyphozyma lulangensis
OTU_292	33	0	12	21	1		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Diutina	Diutina scorzettiae
OTU_33	32	0	32	0	1		Chytridiomycota	Chytridiomycetes	Polychytriales		Polychytrium	Polychytrium aggregatum
OTU_67	32	0	32	0	1		Ascomycota	Saccharomycetes	Phaffomycetales	Wickerhamomycetaceae	Wickerhamomyces	Wickerhamomyces xylosivorus
OTU_304	32	0	0	32	1		Ascomycota	Dipodascomycetes	Dipodascales		Yarrowia	Yarrowia yakushimensis
OTU_305	32	0	0	32	1		Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Thamnomyces	Thamnomyces dendroideus
OTU_306	32	0	15	16	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia amazonensis
