node	module	degree	strength	betweenness	closeness	genus	species	Phylum	Class	Order	Family	evidence_category	is_degrader
OTU_181	2	105	84.086	13.779	9.43e-4	Lysobacter	Lysobacter helvus	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	NA	FALSE
OTU_182	2	105	87.4	50.611	9.59e-4	Falsiroseomonas	Falsiroseomonas oryzae	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	NA	FALSE
OTU_183	1	71	60.371	98.373	8.51e-4	Anaeromassilibacillus	Anaeromassilibacillus senegalensis	Bacillota	Clostridia	Eubacteriales	Acutalibacteraceae	NA	FALSE
OTU_184	2	104	87.657	200.477	9.52e-4	Anaerocolumna	Anaerocolumna cellulosilytica	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	NA	FALSE
OTU_186	1	39	32.829	1936.851	9.2e-4	Provencibacterium	Provencibacterium massiliense	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_189	2	96	83.2	15.049	9.51e-4	Hephaestia	Hephaestia mangrovi	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	FALSE
OTU_19	1	77	67.571	5.017	8.46e-4	Gracilibacter	Gracilibacter thermotolerans	Bacillota	Clostridia	Eubacteriales	Gracilibacteraceae	NA	FALSE
OTU_192	2	79	65.457	16.142	8.98e-4	Sphingomonas	Sphingomonas beigongshangi	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	DIOXIN_CORE	TRUE
OTU_193	3	10	8.4	0.5	4.25e-4	Sabulicella	Sabulicella glaciei	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	FALSE
OTU_194	2	95	80.143	10.711	9.55e-4	Kaistia	Kaistia nematophila	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Kaistiaceae	NA	FALSE
OTU_196	2	92	77.714	426.906	0.001072	Merdimmobilis	Merdimmobilis hominis	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_199	3	10	8.4	0	4.3e-4	Agrobacterium	Agrobacterium albertimagni	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	POP_BROAD	TRUE
OTU_2	2	95	80.143	10.711	9.55e-4	Pelosinus	Pelosinus defluvii	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	NA	FALSE
OTU_20	2	92	77.714	426.906	0.001072	Propionispora	Propionispora hippei	Bacillota	Negativicutes	Selenomonadales	Sporomusaceae	NA	FALSE
OTU_200	2	100	83.543	30.2	9.27e-4	Sphingomonas	Sphingomonas rosea	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	DIOXIN_CORE	TRUE
OTU_201	2	91	75.229	17.495	8.37e-4	Parerythrobacter	Parerythrobacter lacustris	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	NA	FALSE
