genus	total_reads	samples_detected	scope	pipeline	rank_within_pipeline
Pararobbsia	14	1	Pre-threepoint	Emu based	46
Zeimonas	14	1	Pre-threepoint	Emu based	47
Maliibacterium	13	1	Pre-threepoint	Emu based	48
Haliangium	11	1	Pre-threepoint	Emu based	49
Pseudotabrizicola	3492	6	Post-threepoint	De-novo	1
Rubrivivax	711	6	Post-threepoint	De-novo	2
Acididesulfobacillus	439	5	Post-threepoint	De-novo	3
Nibricoccus	281	6	Post-threepoint	De-novo	4
Ideonella	248	6	Post-threepoint	De-novo	5
Cognatilysobacter	243	6	Post-threepoint	De-novo	6
Altererythrobacter	190	6	Post-threepoint	De-novo	7
Sandaracinobacter	164	6	Post-threepoint	De-novo	8
Moorella	136	3	Post-threepoint	De-novo	9
Marivivens	117	6	Post-threepoint	De-novo	10
Babela	114	6	Post-threepoint	De-novo	11
Desulfomonile	104	6	Post-threepoint	De-novo	12
Dichotomicrobium	101	6	Post-threepoint	De-novo	13
Dongia	96	6	Post-threepoint	De-novo	14
Algoriphagus	90	6	Post-threepoint	De-novo	15
Allosphingosinicella	87	6	Post-threepoint	De-novo	16
Desnuesiella	87	6	Post-threepoint	De-novo	17
Rhizobium	85	6	Post-threepoint	De-novo	18
Bartonella	82	6	Post-threepoint	De-novo	19
Aquabacterium	79	4	Post-threepoint	De-novo	20
Sediminicoccus	76	6	Post-threepoint	De-novo	21
Gehongia	72	3	Post-threepoint	De-novo	22
Phenylobacterium	67	6	Post-threepoint	De-novo	23
Guopingia	63	4	Post-threepoint	De-novo	24
Sinanaerobacter	63	6	Post-threepoint	De-novo	25
Variovorax	57	6	Post-threepoint	De-novo	26
Rubritepida	53	6	Post-threepoint	De-novo	27
Angelakisella	41	3	Post-threepoint	De-novo	28
Hephaestia	7499	6	Post-threepoint	Emu based	1
Macellibacteroides	5955	6	Post-threepoint	Emu based	2
Caldimonas	4812	6	Post-threepoint	Emu based	3
Candidatus Borkfalkia	733	3	Post-threepoint	Emu based	4
Vermiculatibacterium	733	3	Post-threepoint	Emu based	5
Ancylomarina	677	6	Post-threepoint	Emu based	6
Propionispora	593	6	Post-threepoint	Emu based	7
Roseococcus	420	6	Post-threepoint	Emu based	8
Proteiniclasticum	398	4	Post-threepoint	Emu based	9
Labilibaculum	305	6	Post-threepoint	Emu based	10
Alteraurantiacibacter	295	6	Post-threepoint	Emu based	11
Lysobacter	293	6	Post-threepoint	Emu based	12
Sandaracinobacteroides	282	6	Post-threepoint	Emu based	13
Kiloniella	268	5	Post-threepoint	Emu based	14
Propionivibrio	267	6	Post-threepoint	Emu based	15
Anaerorhabdus	205	3	Post-threepoint	Emu based	16
Colidextribacter	202	5	Post-threepoint	Emu based	17
Ercella	183	5	Post-threepoint	Emu based	18
Lautropia	175	6	Post-threepoint	Emu based	19
Acetoanaerobium	173	5	Post-threepoint	Emu based	20
Butyricicoccus	172	3	Post-threepoint	Emu based	21
Piscinibacter	154	6	Post-threepoint	Emu based	22
Alkalibaculum	141	6	Post-threepoint	Emu based	23
Anaeromassilibacillus	139	3	Post-threepoint	Emu based	24
Zongyangia	134	5	Post-threepoint	Emu based	25
Aliigemmobacter	124	5	Post-threepoint	Emu based	26
Sabulicella	123	5	Post-threepoint	Emu based	27
Candidatus Babela	120	4	Post-threepoint	Emu based	28
Desulfovectis	117	3	Post-threepoint	Emu based	29
Agrobacterium	113	5	Post-threepoint	Emu based	30
Geofilum	109	5	Post-threepoint	Emu based	31
Dysosmobacter	105	5	Post-threepoint	Emu based	32
Stagnihabitans	105	5	Post-threepoint	Emu based	33
Holdemania	104	3	Post-threepoint	Emu based	34
Desulfosporosinus	102	3	Post-threepoint	Emu based	35
Pseudobacteroides	100	3	Post-threepoint	Emu based	36
Mageeibacillus	89	3	Post-threepoint	Emu based	37
Solibaculum	84	3	Post-threepoint	Emu based	38
Geotalea	83	4	Post-threepoint	Emu based	39
Paludibaculum	75	3	Post-threepoint	Emu based	40
Flavobacterium	63	5	Post-threepoint	Emu based	41
Neglectibacter	63	3	Post-threepoint	Emu based	42
Candidatus Galacturonatibacter	61	4	Post-threepoint	Emu based	43
Vescimonas	57	3	Post-threepoint	Emu based	44
Bengtsoniella	56	3	Post-threepoint	Emu based	45
Hominenteromicrobium	54	3	Post-threepoint	Emu based	46
Aurantibacillus	53	4	Post-threepoint	Emu based	47
Candidatus Soleaferrea	53	3	Post-threepoint	Emu based	48
Aridibacter	49	3	Post-threepoint	Emu based	49
Antarcticimicrobium	48	3	Post-threepoint	Emu based	50
Pleomorphomonas	45	3	Post-threepoint	Emu based	51
Longilinea	40	3	Post-threepoint	Emu based	52
