sample_id	cluster_id	abundance	member_taxids	member_taxa	read_count
barcode13_120_filtered	125	0.000575	1439888;1981098;2672568;2675220	1439888||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingosinicellaceae|Sandarakinorhabdus|Sandarakinorhabdus fusca;1981098||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingosinicellaceae|Sandarakinorhabdus|Sandarakinorhabdus cyanobacteriorum;2672568||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingosinicellaceae|Sandarakinorhabdus|Sandarakinorhabdus rubra;2675220||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingosinicellaceae|Sandarakinorhabdus|Sandarakinorhabdus oryzae	8
barcode13_120_filtered	126	0.000772	2675059;2675060	2675059||Pseudomonadota|Gammaproteobacteria|Lysobacterales|Lysobacteraceae|Lysobacter|Lysobacter helvus;2675060||Pseudomonadota|Gammaproteobacteria|Lysobacterales|Lysobacteraceae|Lysobacter|Lysobacter xanthus	1
barcode13_120_filtered	127	0.005192	433286;1727145;2696063	433286||Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Anaerocolumna|Anaerocolumna cellulosilytica;1727145||Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Anaerocolumna|Anaerocolumna chitinilytica;2696063||Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Anaerocolumna|Anaerocolumna sedimenticola	8
barcode13_120_filtered	129	0.000324	1841868	1841868||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Provencibacterium|Provencibacterium massiliense	4
barcode13_120_filtered	137	0.000557	1960156	1960156||Abditibacteriota|Abditibacteriia|Abditibacteriales|Abditibacteriaceae|Abditibacterium|Abditibacterium utsteinense	28
barcode13_120_filtered	138	0.001520	484882;2786951	484882||Pseudomonadota|Alphaproteobacteria|Acetobacterales|Roseomonadaceae|Falsiroseomonas|Falsiroseomonas stagni;2786951||Pseudomonadota|Alphaproteobacteria|Acetobacterales|Roseomonadaceae|Falsiroseomonas|Falsiroseomonas ponticola	5
barcode13_120_filtered	143	0.001736	433287	433287||Bacillota|Clostridia|Lachnospirales|Anaerotignaceae|Anaerotignum|Anaerotignum aminivorans	1
barcode13_120_filtered	145	0.000493	408174;665118;2917991	408174||Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Devosiaceae|Devosia|Devosia insulae;665118||Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Devosiaceae|Devosia|Devosia enhydra;2917991||Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Devosiaceae|Devosia|Devosia lacusdianchii	11
barcode13_120_filtered	146	0.004608	52692	52692||Bacillota|Clostridia|Eubacteriales|Eubacteriaceae|Acetobacterium|Acetobacterium malicum	2
barcode13_120_filtered	147	0.002882	295419;687525;1123067;2585369;2817372	295419||Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Roseobacteraceae|Rubellimicrobium|Rubellimicrobium thermophilum;687525||Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Roseobacteraceae|Rubellimicrobium|Rubellimicrobium roseum;1123067||Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Roseobacteraceae|Rubellimicrobium|Rubellimicrobium mesophilum;2585369||Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Roseobacteraceae|Rubellimicrobium|Rubellimicrobium rubrum;2817372||Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Roseobacteraceae|Rubellimicrobium|Rubellimicrobium arenae	6
