OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	threepoint_status	cluster_id	cluster_total_support_reads	assigned_phylum_support_pct	top_phylum_in_cluster	top_phylum_support_pct	assigned_class_support_pct	top_class_in_cluster	top_class_support_pct	assigned_order_support_pct	top_order_in_cluster	top_order_support_pct	assigned_family_support_pct	top_family_in_cluster	top_family_support_pct	assigned_genus_support_pct	top_genus_in_cluster	top_genus_support_pct	assigned_species_support_pct	top_species_in_cluster	top_species_support_pct
OTU_25	1329	102	344	883	3		Oomycota	Peronosporomycetes	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora infestans	pass	25	1401.900	100.00	Oomycota	100.00	100.00	Peronosporomycetes	100.00	100.00	Peronosporales	100.00	100.00	Peronosporaceae	100.00	100.00	Phytophthora	100.00	91.08	Phytophthora infestans	91.08
OTU_41	1128	33	22	1074	1		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	Parastagonospora nodorum	pass	41	1196.500	100.00	Ascomycota	100.00	100.00	Dothideomycetes	100.00	100.00	Pleosporales	100.00	100.00	Phaeosphaeriaceae	100.00	100.00	Parastagonospora	100.00	100.00	Parastagonospora nodorum	100.00
OTU_35	1068	241	217	609	4		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Sugiyamaella	Sugiyamaella lignohabitans	pass	35	1138.500	100.00	Ascomycota	100.00	100.00	Dipodascomycetes	100.00	100.00	Dipodascales	100.00	100.00	Trichomonascaceae	100.00	71.54	Sugiyamaella	71.54	61.28	Sugiyamaella lignohabitans	61.28
OTU_27	1033	122	262	649	1		Oomycota	Saprolegniomycetes	Saprolegniales	Verrucalvaceae	Aphanomyces	Aphanomyces invadans	pass	27	1081.800	100.00	Oomycota	100.00	100.00	Saprolegniomycetes	100.00	100.00	Saprolegniales	100.00	100.00	Verrucalvaceae	100.00	100.00	Aphanomyces	100.00	100.00	Aphanomyces invadans	100.00
OTU_90	786	44	216	525	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia laotica	pass	90	848.700	100.00	Ascomycota	100.00	100.00	Pichiomycetes	100.00	100.00	Serinales	100.00	100.00	Metschnikowiaceae	100.00	100.00	Metschnikowia	100.00	100.00	Metschnikowia laotica	100.00
OTU_289	773	145	153	476	1		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Kodamaea	Kodamaea kakaduensis	pass	289	808.700	100.00	Ascomycota	100.00	100.00	Pichiomycetes	100.00	100.00	Serinales	100.00	100.00	Debaryomycetaceae	100.00	100.00	Kodamaea	100.00	100.00	Kodamaea kakaduensis	100.00
OTU_15	685	107	217	362	9		Ascomycota	Dothideomycetes	Hysteriales	Hysteriaceae	Gloniopsis	Gloniopsis calami	pass	15	685.400	100.00	Ascomycota	100.00	94.16	Dothideomycetes	94.16	69.87	Hysteriales	69.87	69.87	Hysteriaceae	69.87	69.87	Gloniopsis	69.87	59.07	Gloniopsis calami	59.07
OTU_71	683	23	170	491	4		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Kodamaea	Kodamaea ohmeri	pass	71	707.400	100.00	Ascomycota	100.00	100.00	Pichiomycetes	100.00	100.00	Serinales	100.00	100.00	Debaryomycetaceae	100.00	100.00	Kodamaea	100.00	75.93	Kodamaea ohmeri	75.93
OTU_137	675	39	192	444	1		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum reginae	pass	137	734.200	100.00	Basidiomycota	100.00	100.00	Agaricomycetes	100.00	100.00	Cantharellales	100.00	100.00	Hydnaceae	100.00	100.00	Hydnum	100.00	100.00	Hydnum reginae	100.00
OTU_91	665	117	160	389	1		Ascomycota	Lipomycetes	Lipomycetales	Lipomycetaceae	Lipomyces	Lipomyces oligophaga	pass	91	714.000	100.00	Ascomycota	100.00	100.00	Lipomycetes	100.00	100.00	Lipomycetales	100.00	100.00	Lipomycetaceae	100.00	100.00	Lipomyces	100.00	100.00	Lipomyces oligophaga	100.00
