OTU_ID	sample_id	read_count	relative_abundance	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	matched_phylum	category
OTU_35	barcode19	241	0.023607	4		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Sugiyamaella	Sugiyamaella lignohabitans	Ascomycota	Pollutant_responsive
OTU_35	barcode20	217	0.007828	4		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Sugiyamaella	Sugiyamaella lignohabitans	Ascomycota	Pollutant_responsive
OTU_35	barcode21	609	0.011010	4		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Sugiyamaella	Sugiyamaella lignohabitans	Ascomycota	Pollutant_responsive
OTU_90	barcode19	44	0.004310	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia laotica	Ascomycota	Pollutant_responsive
OTU_90	barcode20	216	0.007792	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia laotica	Ascomycota	Pollutant_responsive
OTU_90	barcode21	525	0.009491	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	Metschnikowia laotica	Ascomycota	Pollutant_responsive
OTU_289	barcode19	145	0.014203	1		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Kodamaea	Kodamaea kakaduensis	Ascomycota	Pollutant_responsive
OTU_289	barcode20	153	0.005519	1		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Kodamaea	Kodamaea kakaduensis	Ascomycota	Pollutant_responsive
OTU_289	barcode21	476	0.008605	1		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Kodamaea	Kodamaea kakaduensis	Ascomycota	Pollutant_responsive
OTU_15	barcode19	107	0.010481	9		Ascomycota	Dothideomycetes	Hysteriales	Hysteriaceae	Gloniopsis	Gloniopsis calami	Ascomycota	Pollutant_responsive
OTU_15	barcode20	217	0.007828	9		Ascomycota	Dothideomycetes	Hysteriales	Hysteriaceae	Gloniopsis	Gloniopsis calami	Ascomycota	Pollutant_responsive
OTU_15	barcode21	362	0.006544	9		Ascomycota	Dothideomycetes	Hysteriales	Hysteriaceae	Gloniopsis	Gloniopsis calami	Ascomycota	Pollutant_responsive
OTU_71	barcode19	23	0.002253	4		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Kodamaea	Kodamaea ohmeri	Ascomycota	Pollutant_responsive
OTU_71	barcode20	170	0.006133	4		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Kodamaea	Kodamaea ohmeri	Ascomycota	Pollutant_responsive
OTU_71	barcode21	491	0.008876	4		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Kodamaea	Kodamaea ohmeri	Ascomycota	Pollutant_responsive
OTU_137	barcode19	39	0.003820	1		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum reginae	Basidiomycota	Direct_POP_degradation
OTU_137	barcode20	192	0.006926	1		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum reginae	Basidiomycota	Direct_POP_degradation
OTU_137	barcode21	444	0.008027	1		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum reginae	Basidiomycota	Direct_POP_degradation
