OTU_ID	Genus	Species	Phylum	total_reads	barcode19	barcode20	barcode21	min_all	threepoint_status
OTU_211	Pateramyces	Pateramyces pingflumenensis	Chytridiomycota	99	0	14	86	0.0	fail
OTU_189	Puccinia	Puccinia emaculata	Basidiomycota	98	0	43	55	0.0	fail
OTU_238	Paludomyces	Paludomyces mangrovei	Chytridiomycota	97	0	13	85	0.0	fail
OTU_220	Angulomyces	Angulomyces solicola	Chytridiomycota	94	0	27	66	0.0	fail
OTU_237	Vishniacozyma	Vishniacozyma europaea	Basidiomycota	92	0	14	78	0.0	fail
OTU_295		[Candida] anutae	Ascomycota	89	0	23	67	0.0	fail
OTU_108	Clypeoloculus	Clypeoloculus akitaensis	Ascomycota	86	0	24	62	0.0	fail
OTU_145	Kondoa	Kondoa cylindrica	Basidiomycota	86	0	37	49	0.0	fail
OTU_51	Schizonella	Schizonella caricis-atratae	Basidiomycota	83	0	0	83	0.0	fail
OTU_264	Hannaella	Hannaella pagnoccae	Basidiomycota	82	19	0	63	0.0	fail
OTU_112	Pecoramyces	Pecoramyces ruminantium	Chytridiomycota	80	21	22	37	21.0	pass
OTU_196	Begerowomyces	Begerowomyces foliicola	Basidiomycota	80	0	36	45	0.0	fail
OTU_208	Cortinarius	Cortinarius carranzae	Basidiomycota	80	0	10	70	0.0	fail
OTU_76	Starmerella	Starmerella lactis-condensi	Ascomycota	77	77	0	0	0.0	fail
OTU_85	Calcarisporiella	Calcarisporiella thermophila	Mucoromycota	77	15	25	36	15.0	pass
OTU_269	Hamaspora	Hamaspora rubi-alceifolii	Basidiomycota	77	38	0	39	0.0	fail
OTU_195	Pateramyces	Pateramyces corrientinensis	Chytridiomycota	76	0	0	76	0.0	fail
OTU_247	Aureonarius	Aureonarius collybianus	Basidiomycota	75	0	75	0	0.0	fail
OTU_9	Mycoemilia	Mycoemilia scoparia	Zoopagomycota	73	14	15	44	14.0	pass
OTU_199	Antherospora	Antherospora vindobonensis	Basidiomycota	72	0	72	0	0.0	fail
OTU_250	Starmerella	Starmerella riodocensis	Ascomycota	72	0	24	48	0.0	fail
OTU_99	Cladophialophora	Cladophialophora humicola	Ascomycota	71	0	0	71	0.0	fail
OTU_4	Melampsora	Melampsora laricis-populina	Basidiomycota	68	68	0	0	0.0	fail
OTU_225	Angulomyces	Angulomyces ubonensis	Chytridiomycota	68	0	17	50	0.0	fail
OTU_34	Brettanomyces	Brettanomyces bruxellensis	Ascomycota	67	0	24	43	0.0	fail
OTU_254	Vishniacozyma	Vishniacozyma pseudopenaeus	Basidiomycota	66	0	23	43	0.0	fail
OTU_45	Synchytrium	Synchytrium microbalum	Chytridiomycota	65	17	20	28	17.0	pass
OTU_156	Clavulina	Clavulina cinereoglebosa	Basidiomycota	65	0	24	41	0.0	fail
OTU_263	Tremella	Tremella shuangheensis	Basidiomycota	65	0	22	42	0.0	fail
OTU_161	Mucor	Mucor lilianae	Mucoromycota	64	0	0	64	0.0	fail
OTU_276	Vishniacozyma	Vishniacozyma taibaiensis	Basidiomycota	64	0	23	41	0.0	fail
OTU_114	Phyllachora	Phyllachora sandiensis	Ascomycota	60	60	0	0	0.0	fail
OTU_6	Colletotrichum	Colletotrichum higginsianum	Ascomycota	59	0	59	0	0.0	fail
OTU_219	Teunia	Teunia korlaensis	Basidiomycota	59	0	19	41	0.0	fail
OTU_186	Neodevriesia	Neodevriesia hilliana	Ascomycota	58	0	12	47	0.0	fail
OTU_191	Symmetrospora	Symmetrospora rhododendri	Basidiomycota	58	0	18	40	0.0	fail
OTU_297	Geotrichum	Geotrichum europaeum	Ascomycota	57	0	0	57	0.0	fail
OTU_96	Cyanodermella	Cyanodermella oleoligni	Ascomycota	56	12	20	25	12.0	pass
OTU_171	Gymnopilus	Gymnopilus speciosissimus	Basidiomycota	56	0	56	0	0.0	fail
OTU_233	Khoyollomyces	Khoyollomyces ramosus	Chytridiomycota	55	0	15	40	0.0	fail
OTU_206	Basidiobolus	Basidiobolus microsporus	Zoopagomycota	54	0	12	42	0.0	fail
OTU_192	Trametes	Trametes versicolor	Basidiomycota	53	0	53	0	0.0	fail
OTU_257	Geastrum	Geastrum lanuginosum	Basidiomycota	53	0	24	29	0.0	fail
OTU_193	Falcocladium	Falcocladium thailandicum	Ascomycota	51	0	51	0	0.0	fail
OTU_56	Rozella	Rozella allomycis	Cryptomycota	49	0	18	31	0.0	fail
OTU_101	Phragmotaenium	Phragmotaenium fulvescens	Basidiomycota	49	0	22	28	0.0	fail
OTU_154	Filobasidium	Filobasidium mucilaginum	Basidiomycota	49	0	17	32	0.0	fail
OTU_54	Malassezia	Malassezia restricta	Basidiomycota	48	0	48	0	0.0	fail
OTU_147	Orbilia	Orbilia frangulae	Ascomycota	48	0	0	48	0.0	fail
OTU_149	Clavulina	Clavulina monodiminutiva	Basidiomycota	47	0	32	15	0.0	fail
OTU_126	Hymenopellis	Hymenopellis straminea	Basidiomycota	46	0	46	0	0.0	fail
OTU_175	Anaeromyces	Anaeromyces robustus	Chytridiomycota	46	0	46	0	0.0	fail
OTU_151	Chrysozyma	Chrysozyma flava	Basidiomycota	45	0	17	28	0.0	fail
OTU_12	Knoxdaviesia	Knoxdaviesia proteae	Ascomycota	44	0	0	44	0.0	fail
OTU_133	Chrysozyma	Chrysozyma iridis	Basidiomycota	44	0	12	32	0.0	fail
OTU_18	Ballistosporomyces	Ballistosporomyces taupoensis	Basidiomycota	43	0	21	22	0.0	fail
OTU_159	Inocybe	Inocybe phari	Basidiomycota	42	42	0	0	0.0	fail
OTU_172	Heitmania	Heitmania tridentata	Basidiomycota	42	0	15	27	0.0	fail
OTU_127	Cyathus	Cyathus ibericus	Basidiomycota	39	0	39	0	0.0	fail
OTU_245	Otidea	Otidea brunneoparva	Ascomycota	39	0	0	39	0.0	fail
OTU_299	Gorgonomyces	Gorgonomyces aquaticus	Chytridiomycota	39	0	0	39	0.0	fail
OTU_117	Tremateia	Tremateia thailandensis	Ascomycota	38	0	0	38	0.0	fail
OTU_180	Curvularia	Curvularia coatesiae	Ascomycota	38	0	0	38	0.0	fail
OTU_178	Lentaria	Lentaria gossypina	Basidiomycota	37	0	22	15	0.0	fail
OTU_124	Urceomyces	Urceomyces sphaerocarpus	Chytridiomycota	36	0	25	12	0.0	fail
OTU_259	Basidiodendron	Basidiodendron globisporum	Basidiomycota	36	0	36	0	0.0	fail
OTU_285	Sugiyamaella	Sugiyamaella ayubii	Ascomycota	36	0	0	36	0.0	fail
OTU_75	Apiospora	Apiospora aurea	Ascomycota	35	35	0	0	0.0	fail
OTU_290	Gorgonomyces	Gorgonomyces haynaldii	Chytridiomycota	35	0	0	35	0.0	fail
OTU_94	Magnusiomyces	Magnusiomyces capitatus	Ascomycota	34	21	13	0	0.0	fail
OTU_131	Vararia	Vararia minispora	Basidiomycota	34	0	18	16	0.0	fail
OTU_142	Rhizomarasmius	Rhizomarasmius cunninghamietorum	Basidiomycota	34	0	34	0	0.0	fail
OTU_162	Genea	Genea balsleyi	Ascomycota	34	0	0	34	0.0	fail
OTU_177	Pseudohyphozyma	Pseudohyphozyma lulangensis	Basidiomycota	34	0	0	34	0.0	fail
OTU_292	Diutina	Diutina scorzettiae	Ascomycota	33	0	12	21	0.0	fail
OTU_33	Polychytrium	Polychytrium aggregatum	Chytridiomycota	32	0	32	0	0.0	fail
OTU_67	Wickerhamomyces	Wickerhamomyces xylosivorus	Ascomycota	32	0	32	0	0.0	fail
OTU_304	Yarrowia	Yarrowia yakushimensis	Ascomycota	32	0	0	32	0.0	fail
OTU_305	Thamnomyces	Thamnomyces dendroideus	Ascomycota	32	0	0	32	0.0	fail
OTU_306	Metschnikowia	Metschnikowia amazonensis	Ascomycota	32	0	15	16	0.0	fail
OTU_65	Spiromyces	Spiromyces aspiralis	Zoopagomycota	31	0	0	31	0.0	fail
OTU_260	Phaeotremella	Phaeotremella ovata	Basidiomycota	30	0	30	0	0.0	fail
OTU_20	Cantharellus	Cantharellus anzutake	Basidiomycota	29	0	14	15	0.0	fail
OTU_169	Clavulina	Clavulina pakaraimensis	Basidiomycota	29	0	0	29	0.0	fail
OTU_266	Cryptotrichosporon	Cryptotrichosporon siamense	Basidiomycota	29	0	29	0	0.0	fail
OTU_288	Cyberlindnera	Cyberlindnera jadinii	Ascomycota	29	14	14	0	0.0	fail
OTU_298	Neoascochyta	Neoascochyta soli	Ascomycota	29	0	0	29	0.0	fail
OTU_98	Lobulomyces	Lobulomyces poculatus	Chytridiomycota	28	0	17	12	0.0	fail
OTU_103	Deakozyma	Deakozyma indianensis	Ascomycota	28	14	0	14	0.0	fail
OTU_128	Boekhoutia	Boekhoutia sterigmata	Basidiomycota	28	0	14	14	0.0	fail
OTU_141	Thecaphora	Thecaphora australiensis	Basidiomycota	28	0	0	28	0.0	fail
OTU_153	Operculomyces	Operculomyces laminatus	Chytridiomycota	28	0	13	14	0.0	fail
OTU_228	Terfezia	Terfezia lusitanica	Ascomycota	28	0	0	28	0.0	fail
OTU_70	Rhizophydium	Rhizophydium brooksianum	Chytridiomycota	27	0	14	13	0.0	fail
OTU_11	Lipomyces	Lipomyces amatsuensis	Ascomycota	26	0	12	13	0.0	fail
OTU_174	Stomatisora	Stomatisora psychotriicola	Basidiomycota	26	15	0	12	0.0	fail
OTU_207	Protrudomyces	Protrudomyces lateralis	Chytridiomycota	26	0	0	26	0.0	fail
OTU_213	Holtermannia	Holtermannia saccardoi	Basidiomycota	26	0	0	26	0.0	fail
OTU_243	Triparticalcar	Triparticalcar equi	Chytridiomycota	26	0	14	11	0.0	fail
OTU_144	Clavulina	Clavulina cerebriformis	Basidiomycota	25	0	0	25	0.0	fail
OTU_262	Hygrophorus	Hygrophorus mesotephrus	Basidiomycota	25	0	0	25	0.0	fail
OTU_302	Gorgonomyces	Gorgonomyces limnicus	Chytridiomycota	25	0	0	25	0.0	fail
OTU_307	Fuscocatenula	Fuscocatenula submersa	Ascomycota	25	0	0	25	0.0	fail
OTU_158	Lactarius	Lactarius taedae	Basidiomycota	24	0	0	24	0.0	fail
OTU_173	Piskurozyma	Piskurozyma stramentorum	Basidiomycota	24	0	24	0	0.0	fail
OTU_17	Leptosillia	Leptosillia macrospora	Ascomycota	23	0	0	23	0.0	fail
OTU_214	Sistotremastrum	Sistotremastrum vigilans	Basidiomycota	23	0	23	0	0.0	fail
OTU_224	Amanita	Amanita chepangianoides	Basidiomycota	23	0	13	10	0.0	fail
OTU_239	Chaetomella	Chaetomella zambiensis	Ascomycota	23	0	0	23	0.0	fail
OTU_100	Dacrymyces	Dacrymyces venustus	Basidiomycota	22	0	0	22	0.0	fail
OTU_183	Microsporomyces	Microsporomyces ellipsoideus	Basidiomycota	22	0	0	22	0.0	fail
OTU_184	Aspergillus	Aspergillus noonimiae	Ascomycota	22	0	0	22	0.0	fail
OTU_201	Robertozyma	Robertozyma ningxiaensis	Basidiomycota	22	0	0	22	0.0	fail
OTU_210	Hydnum	Hydnum subberkeleyanum	Basidiomycota	22	0	0	22	0.0	fail
OTU_223	Curvularia	Curvularia tuberculata	Ascomycota	22	0	0	22	0.0	fail
OTU_2	Thermomyces	Thermomyces dupontii	Ascomycota	21	0	0	21	0.0	fail
