OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	threepoint_status
OTU_294	582	24	152	406	1		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Buwchfawromyces	Buwchfawromyces eastonii	pass
OTU_44	578	122	200	256	5		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Yamadazyma	[Candida] blattariae	pass
OTU_77	569	41	195	333	1		Mucoromycota	Glomeromycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora ecuadoriana	pass
OTU_88	562	438	45	79	3		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniastraceae	Pucciniastrum	Pucciniastrum myosotidii	pass
OTU_73	558	33	116	409	5		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces beijingensis	pass
OTU_179	507	35	165	306	3		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces cellobiolyticus	pass
OTU_46	488	186	142	160	8		Ascomycota	Sordariomycetes	Glomerellales	Australiascaceae	Monilochaetes	Monilochaetes dimorphospora	pass
OTU_116	462	39	96	327	1		Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola pottsiae	pass
OTU_271	456	43	138	275	1		Cryptomycota				Paramicrosporidium	Paramicrosporidium saccamoebae	pass
OTU_197	450	40	101	308	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana	pass
OTU_258	448	43	73	332	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana	pass
OTU_216	380	43	95	243	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum	pass
OTU_23	332	13	62	256	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Linderina	Linderina pennispora	pass
OTU_261	330	44	105	180	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba	pass
OTU_72	323	43	100	180	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae	pass
OTU_84	306	19	72	215	1		Ascomycota				Novakomyces	Novakomyces olei	pass
OTU_42	304	56	125	123	1		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales		Hyaloraphidium	Hyaloraphidium curvatum	pass
OTU_109	301	52	65	183	1		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Dicephalospora	Dicephalospora sessilis	pass
OTU_39	295	29	161	105	1		Basidiomycota	Ustilaginomycetes	Ustilaginales		Kalmanozyma	Kalmanozyma brasiliensis	pass
OTU_60	268	27	115	126	1		Ascomycota	Dipodascomycetes	Dipodascales	Trichomonascaceae	Wickerhamiella	Wickerhamiella galacta	pass
OTU_21	261	45	72	144	1		Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	Allomyces arbusculus	pass
OTU_107	258	59	65	134	2		Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	Darksidea zeta	pass
OTU_234	238	28	40	170	1		Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus haptosporus	pass
OTU_22	227	72	50	105	2		Oomycota	Peronosporomycetes	Peronosporales	Peronosporaceae	Bremia	Bremia lactucae	pass
OTU_130	221	21	72	127	1		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales	Gonapodyaceae	Gonapodya	Gonapodya prolifera	pass
OTU_274	218	24	88	106	1		Chytridiomycota	Chytridiomycetes	Rhizophydiales	Terramycetaceae	Terramyces	Terramyces aquatica	pass
OTU_268	210	72	108	30	1		Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum otae	pass
OTU_230	204	130	24	50	1		Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Dasyspora	Dasyspora frutescentis	pass
OTU_86	195	17	67	111	3		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera mississippiensis	pass
OTU_194	193	29	62	102	1		Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Piromyces	Piromyces finnis	pass
OTU_182	189	13	31	145	2		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia colbranii	pass
OTU_286	187	52	58	77	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Sungouiella	Sungouiella pseudoflosculorum	pass
OTU_280	178	14	47	117	1		Basidiomycota	Agaricomycetes	Agaricales		Tricholomopsis	Tricholomopsis osiliensis	pass
OTU_95	174	23	44	107	1		Basidiomycota	Classiculomycetes	Classiculales	Classiculaceae	Classicula	Classicula sinensis	pass
OTU_3	171	81	27	63	1		Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces punctatus	pass
OTU_143	169	27	41	100	1		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Trigonosporomyces	Trigonosporomyces hylophilus	pass
OTU_1	164	30	49	85	1		Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	Chlorella variabilis	pass
